runid,graph_sub_path,results_sub_path,summary_results_filename,subid,detailed_results_filename,graph_filename,quantum,locations,slice,shots,mode,iterations,gray,hot_start,gradient_type,formulation,layers,std_dev,lr,weight_decay,momentum,alpha,big_a,c,eta,gamma,s,qubits,elapsed,hot_start_dist,best_dist_found,best_dist,iteration_found,cache_max_size,cache_items,cache_hits,cache_misses,noise,monte_carlo
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-08,results\20250403-18-01-08\18-01-08.csv,graphs\20250403-18-01-08\18-01-08.png,TRUE,4,1,1024,2,50,TRUE,TRUE,SPSA,new,,,,,,0.602,50,0.314,0.01,0.101,0.5,5,2.284923315,21,21,21,0,500000,32,2691,32,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-11,results\20250403-18-01-08\18-01-11.csv,graphs\20250403-18-01-08\18-01-11.png,TRUE,4,1,1024,2,50,FALSE,FALSE,SPSA,new,,,,,,0.602,50,0.314,0.01,0.101,0.5,5,2.280477047,n/a,21,21,0,500000,32,6220,32,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-13,results\20250403-18-01-08\18-01-13.csv,graphs\20250403-18-01-08\18-01-13.png,TRUE,5,1,1024,2,50,TRUE,TRUE,SPSA,new,,,,,,0.602,50,0.314,0.01,0.101,0.5,7,2.368472338,21,19,19,3,500000,100,2832,100,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-16,results\20250403-18-01-08\18-01-16.csv,graphs\20250403-18-01-08\18-01-16.png,TRUE,5,1,1024,2,50,FALSE,FALSE,SPSA,new,,,,,,0.602,50,0.314,0.01,0.101,0.5,7,2.658541441,n/a,19,19,0,500000,128,19173,128,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-19,results\20250403-18-01-08\18-01-19.csv,graphs\20250403-18-01-08\18-01-19.png,FALSE,5,1,64,8,50,TRUE,TRUE,SGD,new,2,0.5,0.0001,0.0002,0,,,,,,,7,16.67323351,21,19,19,0,500000,103,26011,103,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-36,results\20250403-18-01-08\18-01-36.csv,graphs\20250403-18-01-08\18-01-36.png,FALSE,5,1,64,8,50,TRUE,TRUE,SGD,new,2,0.5,0.0001,0.0002,0,,,,,,,7,16.8229661,21,19,19,0,500000,118,25996,118,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-53,results\20250403-18-01-08\18-01-53.csv,graphs\20250403-18-01-08\18-01-53.png,TRUE,5,1,1024,2,50,FALSE,FALSE,SPSA,new,,,,,,0.602,50,0.314,0.01,0.101,0.5,7,3.318620682,n/a,19,19,0,500000,128,14870,128,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-01-56,results\20250403-18-01-08\18-01-56.csv,graphs\20250403-18-01-08\18-01-56.png,FALSE,6,1,64,8,50,TRUE,TRUE,SGD,original,2,0.5,0.0001,0.0002,0,,,,,,,8,17.41021442,279.6000061,241,241,7,500000,256,29122,256,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-02-14,results\20250403-18-01-08\18-02-14.csv,graphs\20250403-18-01-08\18-02-14.png,TRUE,6,1,1024,2,50,FALSE,FALSE,SPSA,original,,,,,,0.602,50,0.314,0.01,0.101,0.5,8,3.749685049,n/a,241,241,2,500000,256,33993,256,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-02-18,results\20250403-18-01-08\18-02-18.csv,graphs\20250403-18-01-08\18-02-18.png,TRUE,8,1,1024,2,100,TRUE,TRUE,SPSA,original,,,,,,0.602,50,0.314,0.01,0.101,0.5,14,10.85030437,315.8,277.2,277.2,29,500000,5367,80698,5367,,
20250403-18-01-08,graphs\20250403-18-01-08,results\20250403-18-01-08,results\results.csv,18-02-29,results\20250403-18-01-08\18-02-29.csv,graphs\20250403-18-01-08\18-02-29.png,TRUE,8,1,1024,2,100,TRUE,TRUE,SPSA,original,,,,,,0.602,50,0.314,0.01,0.101,0.5,14,9.094417334,315.8,315.3,277.2,10,500000,1499,22314,1499,,
